index,Product_Code,Product_Weight,Product_Fat_Content,Product_Salt_Content,Product_Visibility,Product_Type,Product_MRP,Store_Code,Store_Opened,Store_Size,Store_Location_Type,Store_Type,Product_Store_Sales
5896,FOOD-01-78,18.0,regular,Regular,0.3526308012638714,Frozen Foods,137.8905,S-0377,1987,High, 3,Supermarket Type1,948.0992
2818,FOOD-48-51,18.85,regular,Regular,0.3043989158982009,Baking Goods,154.2855,S-0290,1998,,Tier 3,Grocery Store,263.6568
1410,FOOD-24-10,15.85,High Salt,High Salt,0.08450128993098271,Snack Foods,41.06,S-0377,1987,High,3,Supermarket Type1,679.1160000000001
7586,FOOD-71-05,,regular,High Salt,0.0,Baking Goods,196.98350000000002,S-0783,1985,Medium,Tier 3,Supermarket Type3,5404.9644
5794,FOOD-00-40,20.75,High Salt,High Salt,0.0,Seafood,289.985,S-1305,2002,,Tier 2,Supermarket Type1,2636.5679999999998
3031,NCON-56-28,6.235,NA,Regular,0.34484059215817386,Household,320.98875,S-1305,2002,,Tier 2,Supermarket Type1,2103.928
2268,FOOD-71-67,20.7,low Salt,Regular,0.22072230064042012,Fruits and Vegetables,38.43825,S-0377,1987,High,Tier 3,Supermarket Type1,227.7036
3026,NCON-02-38,16.5,NA,Regular,0.1890193164732113,Health and Hygiene,109.015,S-1305,2002,,Tier 2,Supermarket Type1,838.908
6924,FOOD-59-51,13.35,Regular,Regular,0.2553728881459424,Baking Goods,106.85050000000001,S-0522,2009,Medium, 3,Supermarket Type2,1102.5648
4302,NCON-65-41,16.35,NA,Regular,0.30178543536758035,Household,236.01374999999996,S-0493,2007,,Tier 2,Supermarket Type1,3338.987
6425,NCON-15-21,10.1,NA,Regular,0.22486185314543683,Health and Hygiene,181.707,S-0290,1998,,3,Grocery Store,463.3968
5239,FOOD-04-51,14.0,LS,Regular,0.15437473238843202,Baking Goods,118.91650000000001,S-0522,2009,Medium,Tier 3,Supermarket Type2,1948.1308
8491,FOOD-38-60,10.395,r,High Salt,0.19244018031585813,Meat,274.919,S-0522,2009,Medium,Tier 3,Supermarket Type2,4809.7392
6766,NCON-14-28,12.1,NA,Low Salt,0.1244883006551218,Household,196.94075,S-0522,2009,Medium,Tier 3,Supermarket Type2,3453.5046
5706,FOOD-64-78,6.4,High Salt,Regular,0.2913509481707585,Frozen Foods,39.099500000000006,S-1421,1999,Medium,Tier 1,Supermarket Type1,701.7532
6549,FOOD-49-16,16.2,High Salt,Regular,0.32258092318052534,Canned,118.12375,S-0493,2007,,2,Supermarket Type1,2063.98
2748,FOOD-24-69,8.395,regular,Regular,0.19870767222228738,Snacks,112.38025,S-1015,2004,Small,Tier 2,Supermarket Type1,1686.4714
2176,FOOD-17-83,10.1,High Salt,Regular,0.17909600498056902,Canned,53.626,S-0377,1987,High,Tier 3,Supermarket Type1,354.2056
2492,BVRG-32-48,,low Salt,Regular,0.2673921745302207,Hard Drinks,37.18825,S-0783,1985,Medium,Tier 3,Supermarket Type3,796.9626
8035,FOOD-65-33,13.5,High Salt,High Salt,0.40005573236737907,Fruits and Vegetables,171.76275,S-1305,2002,,Tier 2,Supermarket Type1,3499.4448
5750,FOOD-15-23,20.25,High Salt,High Salt,0.27653335603503604,Dairy,235.22424999999998,S-0522,2009,Medium, 3,Supermarket Type2,2731.1116
4495,FOOD-59-40,,regular,Regular,0.18629494625458848,Snack Foods,292.1035,S-0783,1985,Medium,3,Supermarket Type3,4873.656
5620,FOOD-17-59,18.7,Low Salt,Low Salt,-0.2996284599299606,Snacks,310.584,S-0493,2007,,Tier 2,Supermarket Type1,5369.0112
1302,FOOD-33-25,13.1,Regular,Regular,0.27480020742350253,Dairy,199.01975,S-0377,1987,High, 3,Supermarket Type1,3008.0844
5852,NCON-35-41,17.75,NA,Regular,0.312830367771417,Health and Hygiene,289.1495,S-1421,1999,Medium, 1,Supermarket Type1,3615.2940000000003
5467,FOOD-49-69,15.5,High Salt,High Salt,0.3959770031201307,Snacks,175.80225,S-0377,1987,High, 3,Supermarket Type1,3972.8286
8363,BVRG-71-51,8.43,Regular,Regular,0.13189506435041456,Soft Drinks,235.096,S-0522,2009,Medium,Tier 3,Supermarket Type2,4138.6128
5241,FOOD-14-02,8.3,Regular,Regular,0.18800977634155092,Fruits and Vegetables,37.563250000000004,S-1015,2004,Small,Tier 2,Supermarket Type1,531.3084
7963,NCON-63-71,8.6,NA,Regular,0.26347004953125125,Household,105.64325,S-1334,1997,Small,Tier 1,Supermarket Type1,2006.7212
2536,FOOD-32-39,11.65,Regular,Regular,0.1839885458391364,Seafood,130.23250000000002,S-1015,2004,Small,Tier 2,Supermarket Type1,1018.674
198,FOOD-71-42,,High Salt,High Salt,0.3141077076418215,Dairy,68.64925000000001,S-0783,1985,Medium, 3,Supermarket Type3,2105.2596
6674,FOOD-63-52,9.1,Regular,Regular,0.539850678428767,Baking Goods,148.54525,S-0290,1998,,3,Grocery Store,125.8362
7832,NCON-07-09,12.15,NA,Regular,0.2824096563504867,Health and Hygiene,35.81325,S-0522,2009,Medium,Tier 3,Supermarket Type2,493.3578
7253,FOOD-02-22,11.65,High Salt,High Salt,0.27538123574419515,Snack Foods,93.73849999999999,S-1015,2004,Small,2,Supermarket Type1,1258.362
2658,FOOD-56-05,5.465,High Salt,High Salt,0.0,Baking Goods,151.45325,S-1334,1997,Small,Tier 1,Supermarket Type1,3672.5528
542,FOOD-15-77,,High Salt,High Salt,0.28828710515734135,Canned,234.80325,S-0783,1985,Medium,Tier 3,Supermarket Type3,5734.5354
3714,FOOD-63-07,6.465,High Salt,Regular,0.3527073957262592,Canned,322.7355,S-0377,1987,High,Tier 3,Supermarket Type1,5299.768
1771,FOOD-14-40,13.5,regular,Regular,0.1466165168048948,Fruits and Vegetables,215.747,S-1334,1997,Small,Tier 1,Supermarket Type1,3078.6592
4768,FOOD-64-55,10.85,regular,Regular,0.40320174726803953,Snacks,124.32774999999998,S-1305,2002,,Tier 2,Supermarket Type1,529.311
5421,FOOD-33-47,19.5,Regular,Regular,0.2872918446458235,Canned,211.50025,S-1015,2004,Small,Tier 2,Supermarket Type1,2149.2024
808,FOOD-09-40,13.35,regular,High Salt,0.38687119561942057,Snacks,215.33249999999998,S-1305,2002,, 2,Supermarket Type1,898.83
321,FOOD-29-05,9.695,High Salt,High Salt,0.35844482141607237,Baking Goods,269.9255,S-1421,1999,Medium, 1,Supermarket Type1,4950.8888
1054,FOOD-38-35,17.85,High Salt,Regular,0.38262208901212175,Breads,107.30449999999999,S-1015,2004,Small, 2,Supermarket Type1,1418.154
7531,FOOD-38-30,10.195,High Salt,High Salt,0.21252245998952674,Fruits,138.101,S-0522,2009,Medium,Tier 3,Supermarket Type2,1640.5312
3590,FOOD-49-10,10.3,High Salt,High Salt,0.243228565345438,Fruits,229.44125,S-0493,2007,,Tier 2,Supermarket Type1,6641.355
8503,FOOD-64-50,20.5,Regular,Regular,0.19008804012877822,Fruits and Vegetables,140.2195,S-1015,2004,Small,Tier 2,Supermarket Type1,3392.9168
4015,FOOD-63-18,16.75,regular,Regular,0.36002049941635267,Breads,97.732,S-0493,2007,,Tier 2,Supermarket Type1,1406.1696
3554,FOOD-00-39,13.1,High Salt,Regular,0.1940094636866975,Fruits and Vegetables,209.50675,S-1421,1999,Medium,Tier 1,Supermarket Type1,1050.6324
4618,NCON-56-28,6.235,NA,Regular,0.34519239273193725,Household,319.73875,S-0522,2009,Medium,Tier 3,Supermarket Type2,2103.928
4238,BVRG-00-64,13.8,Low Salt,Low Salt,0.312181810809022,Dairy,59.24125000000001,S-0522,2009,Medium,Tier 3,Supermarket Type2,1018.674
7216,FOOD-64-05,7.855,High Salt,High Salt,0.4022419719522069,Baking Goods,36.605999999999995,S-1421,1999,Medium,Tier 1,Supermarket Type1,745.696
3333,FOOD-48-86,,High Salt,High Salt,0.4130938077483128,Meat,47.922000000000004,S-0783,1985,Medium,Tier 3,Supermarket Type3,2109.2544
4712,FOOD-24-78,19.0,low Salt,Regular,0.33451795019101743,Frozen Foods,121.82774999999998,S-1015,2004,Small, 2,Supermarket Type1,1905.5196
8397,FOOD-35-43,16.7,High Salt,High Salt,0.2342038385680303,Starchy Foods,70.52099999999999,S-0522,2009,Medium,Tier 3,Supermarket Type2,830.9184
6775,FOOD-01-61,,High Salt,High Salt,0.3237069230028916,Snack Foods,205.3455,S-0783,1985,Medium,Tier 3,Supermarket Type3,1545.9876
458,BVRG-56-51,,High Salt,High Salt,0.15726771442352686,Soft Drinks,40.35275,S-0783,1985,Medium,Tier 3,Supermarket Type3,1296.3126
2788,FOOD-14-62,20.7,Regular,Regular,0.4120392529844699,Canned,220.53325,S-1015,2004,Small,Tier 2,Supermarket Type1,3688.532
5175,FOOD-38-24,20.0,low Salt,Regular,0.1853130486501153,Baking Goods,46.76075,S-0377,1987,High,Tier 3,Supermarket Type1,981.3892
4720,FOOD-13-69,16.7,High Salt,High Salt,0.2495941686017524,Snack Foods,65.82025,S-0522,2009,Medium,Tier 3,Supermarket Type2,592.562
7982,FOOD-64-50,20.5,Regular,Regular,0.1900268980960327,Fruits and Vegetables,140.2195,S-0377,1987,High,Tier 3,Supermarket Type1,2059.9852
3672,BVRG-59-18,12.1,Regular,Regular,0.0,Hard Drinks,214.83249999999998,S-1305,2002,,Tier 2,Supermarket Type1,3595.32
2548,NCON-24-17,18.85,NA,Regular,0.4093701137112967,Household,233.267,S-1334,1997,Small,1,Supermarket Type1,2721.7904
8101,FOOD-65-64,20.35,Regular,Regular,0.28948105810225305,Meat,220.1615,S-1334,1997,Small,1,Supermarket Type1,2189.1504
2930,FOOD-33-14,15.35,High Salt,High Salt,0.23474065263605282,Meat,177.21675000000002,S-1015,2004,Small,Tier 2,Supermarket Type1,2820.9946
4406,FOOD-48-18,12.8,High Salt,High Salt,0.33810983866193545,Breads,167.85475000000002,S-0522,2009,Medium, 3,Supermarket Type2,421.4514
6733,FOOD-64-14,20.35,regular,High Salt,0.3889837091704484,Meat,92.1595,S-1421,1999,Medium,Tier 1,Supermarket Type1,2030.69
7942,FOOD-33-34,12.6,High Salt,High Salt,0.14822245443926504,Fruits and Vegetables,300.76149999999996,S-1334,1997,Small,Tier 1,Supermarket Type1,3237.1196
467,FOOD-72-32,10.5,High Salt,Regular,0.22989697910150972,Frozen Foods,100.97874999999999,S-0493,2007,,2,Supermarket Type1,2067.3089999999997
5616,FOOD-72-30,9.8,High Salt,High Salt,0.2528169792557454,Fruits and Vegetables,136.4365,S-1421,1999,Medium,Tier 1,Supermarket Type1,2780.3808
3490,NCON-01-28,19.2,NA,Regular,0.4285871404977056,Others,292.2745,S-0493,2007,,Tier 2,Supermarket Type1,1687.1372
8302,FOOD-04-36,12.5,regular,High Salt,0.28673190788609487,Fruits and Vegetables,104.311,S-0493,2007,,Tier 2,Supermarket Type1,1086.5856
6140,FOOD-48-61,6.61,High Salt,High Salt,0.17031218100887557,Snack Foods,222.61225,S-1015,2004,Small,2,Supermarket Type1,2619.2572
5795,FOOD-48-31,,regular,High Salt,0.49538609790748067,Baking Goods,106.01500000000001,S-0551,1985,Small,Tier 1,Grocery Store,93.212
6285,FOOD-33-52,8.315,regular,High Salt,0.18860589333316177,Baking Goods,170.5555,S-1334,1997,Small,Tier 1,Supermarket Type1,2902.888
2306,FOOD-32-23,5.46,High Salt,High Salt,0.17988722300374754,Canned,224.28,S-0493,2007,,Tier 2,Supermarket Type1,3169.208
214,NCON-07-41,14.65,NA,Regular,0.0,Household,191.94400000000002,S-0290,1998,,3,Grocery Store,324.9104
4193,BVRG-14-85,,regular,Regular,0.2803384187013974,Soft Drinks,131.60750000000002,S-0783,1985,Medium,Tier 3,Supermarket Type3,2716.4640000000004
4655,FOOD-64-06,16.0,High Salt,High Salt,0.17139789671988392,Meat,47.714749999999995,S-0290,1998,,Tier 3,Grocery Store,94.5436
7811,BVRG-56-31,8.785,Regular,Regular,0.14359302559664935,Soft Drinks,181.332,S-1305,2002,,2,Supermarket Type1,4170.5712
343,NCON-04-46,20.25,NA,Regular,0.16126342114689246,Household,216.247,S-1305,2002,,Tier 2,Supermarket Type1,2716.4640000000004
1947,FOOD-01-84,10.5,Regular,Regular,0.26714920737295855,Frozen Foods,141.63725,S-1421,1999,Medium,Tier 1,Supermarket Type1,1446.1176
2067,FOOD-65-51,11.65,High Salt,Regular,0.3630026473732664,Baking Goods,178.878,S-1305,2002,,Tier 2,Supermarket Type1,1518.024
469,FOOD-65-12,12.65,regular,High Salt,0.27632293064456304,Frozen Foods,230.23075,S-0522,2009,Medium,3,Supermarket Type2,1146.5076
7991,FOOD-35-24,5.425,regular,High Salt,0.33833770555467213,Baking Goods,100.43925,S-1334,1997,Small,Tier 1,Supermarket Type1,2833.6448
4256,NCON-59-62,19.1,NA,Regular,0.3031794617054394,Others,218.451,S-1334,1997,Small,Tier 1,Supermarket Type1,1837.608
704,FOOD-49-62,7.55,Regular,Regular,0.16496077715626825,Canned,180.91750000000002,S-1421,1999,Medium, 1,Supermarket Type1,2756.4120000000003
3880,FOOD-41-25,7.405,Regular,Regular,0.1598807368009042,Canned,102.14325000000001,S-0290,1998,,Tier 3,Grocery Store,182.4292
4369,FOOD-63-24,20.85,High Salt,Regular,0.18013473568415392,Baking Goods,212.33249999999998,S-1334,1997,Small,Tier 1,Supermarket Type1,1078.596
3606,FOOD-29-33,19.1,regular,Regular,0.3108911626276952,Fruits and Vegetables,283.99475,S-0377,1987,High,Tier 3,Supermarket Type1,4673.916
5179,FOOD-72-42,11.6,High Salt,High Salt,0.3634720360632988,Frozen Foods,92.7845,S-0290,1998,,Tier 3,Grocery Store,243.6828
865,FOOD-32-16,12.5,regular,Regular,0.3359456116695082,Canned,137.93,S-0493,2007,,Tier 2,Supermarket Type1,2157.192
723,FOOD-38-12,,High Salt,High Salt,0.27711175002153915,Frozen Foods,205.13825,S-0783,1985,Medium,Tier 3,Supermarket Type3,2566.659
2358,FOOD-48-05,6.15,regular,Regular,0.21501731325639803,Baking Goods,114.298,S-0377,1987,High,3,Supermarket Type1,1379.5376
116,FOOD-07-32,16.85,High Salt,High Salt,0.4009489418866198,Frozen Foods,230.55975,S-0493,2007,,Tier 2,Supermarket Type1,4843.695
5245,FOOD-48-78,7.93,High Salt,Regular,0.07454570410157785,Frozen Foods,142.67675,S-1421,1999,Medium,Tier 1,Supermarket Type1,2924.1936
6996,FOOD-72-86,7.075,Regular,Regular,0.31250730231468193,Dairy,167.26600000000002,S-0290,1998,, 3,Grocery Store,143.8128
3206,FOOD-17-61,,regular,Regular,0.4864326818790037,Snack Foods,262.06025,S-0551,1985,Small,Tier 1,Grocery Store,219.0482
8423,FOOD-01-22,7.42,High Salt,High Salt,0.14717855482372424,Seafood,224.69774999999998,S-0522,2009,Medium,Tier 3,Supermarket Type2,2600.6148
2501,FOOD-15-50,8.365,High Salt,High Salt,0.19961069360131986,Fruits and Vegetables,227.64849999999998,S-1334,1997,Small,Tier 1,Supermarket Type1,1904.1879999999999
4685,FOOD-07-60,13.65,High Salt,High Salt,0.2806896399940689,Dairy,221.03000000000003,S-1334,1997,Small, 1,Supermarket Type1,3355.632
7256,BVRG-01-64,20.25,Regular,Regular,0.19078714317269913,Dairy,264.18525,S-1305,2002,,2,Supermarket Type1,8323.8316
1436,FOOD-17-35,,regular,Regular,0.1881874809863823,Breads,262.77075,S-0783,1985,Medium,Tier 3,Supermarket Type3,3701.1822
4068,BVRG-71-86,11.85,regular,Regular,0.36460888497127986,Dairy,112.59074999999999,S-1305,2002,,Tier 2,Supermarket Type1,1761.7068
1010,FOOD-56-23,14.0,High Salt,High Salt,0.17682617453307076,Canned,54.33,S-1334,1997,Small, 1,Supermarket Type1,692.432
5484,FOOD-13-50,16.6,regular,Regular,0.32156813430438036,Fruits and Vegetables,135.55825000000002,S-0522,2009,Medium,Tier 3,Supermarket Type2,1178.4660000000001
4543,FOOD-33-30,7.68,regular,Regular,0.26647797845225407,Fruits and Vegetables,228.64525,S-1421,1999,Medium,Tier 1,Supermarket Type1,5195.2374
5136,FOOD-48-62,17.75,Regular,Regular,0.18642061849484354,Dairy,300.96875,S-1334,1997,Small,1,Supermarket Type1,3745.125
8029,FOOD-32-10,7.905,Regular,Regular,0.10016298717590245,Snack Foods,300.426,S-1305,2002,,Tier 2,Supermarket Type1,751.0224
1696,FOOD-32-60,12.6,r,High Salt,0.3517494264387648,Dairy,306.29449999999997,S-0290,1998,,Tier 3,Grocery Store,254.3356
5410,FOOD-72-30,9.8,High Salt,High Salt,0.2528767071123792,Fruits and Vegetables,135.8115,S-1305,2002,,Tier 2,Supermarket Type1,2316.984
4365,BVRG-01-47,6.865,Regular,Regular,0.11841294692726806,Soft Drinks,148.9565,S-1305,2002,,Tier 2,Supermarket Type1,1291.652
4666,FOOD-33-23,11.8,High Salt,High Salt,0.3281200161526267,Dairy,270.2215,S-0493,2007,,Tier 2,Supermarket Type1,2890.9036
3806,FOOD-56-42,17.5,High Salt,High Salt,0.08689998273877848,Dairy,172.26275,S-1421,1999,Medium, 1,Supermarket Type1,1895.5326
5546,FOOD-29-01,,High Salt,Regular,0.15507198006087367,Canned,134.39375,S-0783,1985,Medium, 3,Supermarket Type3,1980.755
6945,FOOD-04-26,,Regular,Regular,0.2183071918192344,Snack Foods,225.48725000000002,S-0783,1985,Medium,Tier 3,Supermarket Type3,5238.5144
4854,FOOD-14-50,8.05,r,High Salt,0.2800008303559116,Fruits and Vegetables,313.83074999999997,S-1334,1997,Small,Tier 1,Supermarket Type1,4380.2982
2235,FOOD-71-18,14.15,Regular,Regular,0.1952515710564194,Starchy Foods,144.38075,S-0493,2007,,Tier 2,Supermarket Type1,1992.0736
5786,BVRG-59-77,9.6,High Salt,Regular,0.31018907459805867,Soft Drinks,200.64475000000002,S-0377,1987,High,Tier 3,Supermarket Type1,3342.316
5610,FOOD-71-35,17.6,regular,High Salt,0.2308437935054785,Starchy Foods,49.13250000000001,S-1305,2002,,Tier 2,Supermarket Type1,605.878
1476,FOOD-32-16,12.5,High Salt,Regular,0.4334063705115558,Canned,139.055,S-0290,1998,,3,Grocery Store,119.844
6617,FOOD-24-83,13.8,High Salt,High Salt,0.12150303288395727,Canned,103.3965,S-1305,2002,,Tier 2,Supermarket Type1,1338.2579999999998
369,FOOD-24-67,15.7,High Salt,High Salt,0.3509411004712899,Fruits and Vegetables,127.69299999999998,S-0493,2007,,Tier 2,Supermarket Type1,1230.3984
7189,BVRG-24-77,15.5,regular,Regular,0.23125833822805178,Soft Drinks,42.97125,S-1305,2002,,2,Supermarket Type1,1211.756
1356,FOOD-71-48,7.06,High Salt,High Salt,0.2097365704878384,Starchy Foods,65.363,S-1305,2002,, 2,Supermarket Type1,644.4944
4709,FOOD-29-55,6.195,Regular,Regular,0.26857311667402606,Snack Foods,140.13725,S-1305,2002,,Tier 2,Supermarket Type1,2892.2352
5161,FOOD-04-22,20.2,High Salt,High Salt,0.3481828657472967,Snacks,111.969,S-1015,2004,Small,Tier 2,Supermarket Type1,1534.0032
1626,BVRG-72-35,14.65,High Salt,Regular,0.412524564117096,Hard Drinks,59.076750000000004,S-0377,1987,High, 3,Supermarket Type1,718.3982
6762,NCON-63-17,12.65,NA,Regular,0.20545344728185994,Household,125.86724999999998,S-1334,1997,Small,Tier 1,Supermarket Type1,1393.5194
8293,NCON-13-46,9.1,NA,Regular,0.283333208431345,Household,49.089749999999995,S-1015,2004,Small,Tier 2,Supermarket Type1,850.8924
1055,FOOD-59-55,15.6,regular,High Salt,0.21390556327501162,Snacks,198.8915,S-1015,2004,Small,Tier 2,Supermarket Type1,2874.9244
5573,NCON-71-28,7.67,NA,Regular,0.4308091839782434,Household,34.652,S-0522,2009,Medium,Tier 3,Supermarket Type2,69.2432
1639,NCON-04-17,7.285,NA,Regular,0.17667713207996105,Household,211.38175,S-1305,2002,,Tier 2,Supermarket Type1,2626.5809999999997
335,FOOD-38-01,,High Salt,High Salt,0.14359082143368357,Breakfast,151.74925000000002,S-0783,1985,Medium,Tier 3,Supermarket Type3,2055.9904
4724,FOOD-71-39,12.1,Regular,Regular,0.0,Fruits,211.62525,S-1015,2004,Small,2,Supermarket Type1,3044.7034
7498,FOOD-29-67,,regular,High Salt,0.418137417603352,Fruits and Vegetables,168.59825,S-0551,1985,Small,Tier 1,Grocery Store,433.4358
4736,FOOD-17-10,,regular,High Salt,0.21229435225648374,Snack Foods,228.609,S-0551,1985,Small,Tier 1,Grocery Store,945.436
5261,FOOD-72-30,9.8,High Salt,High Salt,0.2525967913493756,Vegetables,136.6865,S-1015,2004,Small,Tier 2,Supermarket Type1,810.9444
6456,BVRG-01-18,18.25,regular,Regular,0.21035756226007185,Hard Drinks,208.385,S-1334,1997,Small,1,Supermarket Type1,2423.512
8409,NCON-13-21,10.895,NA,Regular,0.14468729384434556,Cosmetics,310.709,S-0377,1987,High,Tier 3,Supermarket Type1,4090.6752
6101,FOOD-09-39,21.25,regular,Regular,0.3945817963363237,Snack Foods,212.04625,S-1305,2002,, 2,Supermarket Type1,2999.429
4076,BVRG-72-64,,High Salt,Regular,0.3037126075749902,Dairy,84.83375000000001,S-0783,1985,Medium,Tier 3,Supermarket Type3,2450.144
871,NCON-04-38,16.75,NA,Regular,0.27541490518851736,Cosmetics,36.066500000000005,S-1421,1999,Medium,1,Supermarket Type1,1150.5024
7733,BVRG-59-48,8.01,Regular,Regular,0.2655819045040531,Hard Drinks,32.8165,S-0522,2009,Medium,3,Supermarket Type2,467.3916
8094,FOOD-29-01,10.1,LS,Regular,0.2011122696406164,Canned,137.64374999999998,S-0290,1998,,Tier 3,Grocery Store,116.515
2305,FOOD-71-67,,Regular,Regular,0.2202788982176913,Fruits and Vegetables,39.56325,S-0783,1985,Medium, 3,Supermarket Type3,1024.6662
1667,BVRG-24-01,19.5,High Salt,High Salt,0.27768345107333997,Soft Drinks,281.11975,S-0377,1987,High, 3,Supermarket Type1,5608.6992
762,FOOD-32-63,9.8,Regular,Regular,0.16416486834886446,Meat,150.50250000000003,S-0522,2009,Medium,Tier 3,Supermarket Type2,1265.02
1623,FOOD-04-52,9.8,High Salt,High Salt,0.0,Baking Goods,51.501000000000005,S-0377,1987,High,3,Supermarket Type1,657.8104
5003,FOOD-17-40,,High Salt,Regular,0.18364569965016878,Snack Foods,254.61275,S-0783,1985,Medium,Tier 3,Supermarket Type3,4247.804
979,FOOD-49-12,9.3,Regular,Regular,0.25895045665146066,Frozen Foods,220.2865,S-0522,2009,Medium,Tier 3,Supermarket Type2,1277.0044
5092,FOOD-04-07,,High Salt,Regular,0.22967193777211878,Canned,83.70875,S-0551,1985,Small,Tier 1,Grocery Store,229.701
7038,NCON-63-83,,NA,Regular,0.0,Household,134.022,S-0783,1985,Medium,Tier 3,Supermarket Type3,1030.6584
8063,BVRG-56-85,12.3,Regular,Regular,0.34097116446995923,Soft Drinks,123.86725000000001,S-0290,1998,,Tier 3,Grocery Store,214.3876
2365,FOOD-63-55,19.35,r,High Salt,0.2772695727987476,Snack Foods,132.43975,S-1421,1999,Medium,Tier 1,Supermarket Type1,1138.518
3962,BVRG-09-43,8.27,High Salt,High Salt,0.3575212888766206,Soft Drinks,222.4905,S-0377,1987,High,Tier 3,Supermarket Type1,555.2772
2466,FOOD-01-34,12.8,regular,High Salt,0.1533980214996269,Meat,269.4255,S-1334,1997,Small,Tier 1,Supermarket Type1,1800.3232
4746,NCON-33-38,,NA,Regular,0.12399821369681097,Health and Hygiene,186.20049999999998,S-0783,1985,Medium,Tier 3,Supermarket Type3,4278.4308
4575,FOOD-01-42,13.6,r,High Salt,0.22266540593455464,Frozen Foods,127.614,S-1015,2004,Small,2,Supermarket Type1,1965.4416
8168,FOOD-15-83,19.25,regular,Regular,0.3192680315972772,Dairy,58.2445,S-1421,1999,Medium,Tier 1,Supermarket Type1,764.3384
1204,BVRG-72-47,,High Salt,Regular,0.2077709387763361,Soft Drinks,93.574,S-0551,1985,Small,Tier 1,Grocery Store,165.1184
2442,FOOD-65-40,18.25,regular,Regular,0.2793585796069274,Snack Foods,313.12025,S-0522,2009,Medium,Tier 3,Supermarket Type2,2848.9582
1989,BVRG-49-85,,Regular,Regular,-0.19681654910093307,Soft Drinks,36.64875000000001,S-0783,1985,Medium,Tier 3,Supermarket Type3,1281.665
6349,FOOD-41-23,18.85,Regular,Regular,0.20667888619788913,Canned,312.29125,S-1421,1999,Medium,Tier 1,Supermarket Type1,3332.329
7620,BVRG-00-06,,Regular,Regular,0.20502944422692074,Dairy,205.84550000000002,S-0783,1985,Medium,Tier 3,Supermarket Type3,6183.9504
6835,FOOD-07-59,10.195,regular,Regular,0.3275785050945803,Snack Foods,177.2595,S-0377,1987,High,Tier 3,Supermarket Type1,2217.114
